REGION,BRANCH,FULL_BRANCH
I,1657,1657
Q,1658,1658
Q,1659,1659
Q,1660,1660
R,1661,1661
R,1662,1662
O,1663,1663
P,1664,1664
P,1665,1665
N,1666,1666
N,1667,1667
J,1668,1668
D,1669,1669
D,1670,1670
J,1671,1671
J,1672,1672
K,1673,1673
Q,1674,1674
P,1675,1675
D,1676,1676
R,1677,1677
A,1678,1678
D,1679,1679
F,1680,1680
H,1681,1681
H,1682,1682
L,1683,1683
L,1684,1684
N,1685,1685
C,1686,1686
H,1687,1687
H,1688,1688
F,1689,1689
F,1690,1690
F,1691,1691
X,1692,1692
R,1693,1693
G,1694,1694
G,1695,1695
M,1696,1696
Q,1697,1697
H,1698,1698
H,1699,1699
L,1700,1700
N,1701,1701
I,1702,1702
F,1703,1703
F,1704,1704
O,1705,1705
B,1706,1706
D,1707,1707
N,1708,1708
P,1709,1709
P,1710,1710
P,1711,1711
L,1712,1712
O,1713,1713
O,1714,1714
J,1715,1715
F,1716,1716
F,1717,1717
R,1718,1718
R,1719,1719
X,1720,1720
Q,1721,1721
K,1722,1722
K,1723,1723
K,1724,1724
K,1725,1725
E,1726,1726
O,1727,1727
M,1728,1728
M,1729,1729
M,1730,1730
I,1731,1731
I,1732,1732
E,1733,1733
J,1734,1734
I,1735,1735
F,1736,1736
B,1737,1737
B,1738,1738
I,1739,1739
E,1740,1740
M,1741,1741
R,1742,1742
K,1744,1744
G,1745,1745
H,1746,1746
E,1747,1747
E,1748,1748
H,1749,1749
H,1750,1750
H,1751,1751
F,1752,1752
H,1753,1753
H,1754,1754
I,1755,1755
I,1756,1756
E,1757,1757
C,1758,1758
S,1759,1759
Q,1760,1760
H,1761,1761
M,1762,1762
M,1763,1763
B,1764,1764
E,1765,1765
B,1766,1766
E,1767,1767
F,1768,1768
I,1769,1769
X,1770,1770
R,1771,1771
B,1772,1772
F,1773,1773
X,1774,1774
I,1775,1775
K,1776,1776
K,1777,1777
K,1778,1778
H,1779,1779
F,1780,1780
F,1781,1781
Q,1782,1782
B,1783,1783
M,1784,1784
S,1785,1785
P,1786,1786
E,1787,1787
L,1788,1788
B,1789,1789
Q,1790,1790
Q,1791,1791
H,1792,1792
F,1793,1793
X,1794,1794
P,1795,1795
M,1796,1796
I,1797,1797
I,1798,1798
I,1799,1799
I,1800,1800
I,1801,1801
I,1802,1802
Q,1803,1803
K,1804,1804
S,1805,1805
L,1806,1806
R,1807,1807
S,1808,1808
F,1809,1809
L,1810,1810
M,1811,1811
Q,1812,1812
B,1813,1813
P,1814,1814
E,1815,1815
M,1816,1816
M,1817,1817
L,1818,1818
L,1819,1819
S,1820,1820
D,1821,1821
I,1822,1822
H,1823,1823
C,1824,1824
Q,1825,1825
X,1826,1826
R,1827,1827
X,1828,1828
R,1829,1829
O,1830,1830
P,1831,1831
J,1832,1832
L,1833,1833
A,1834,1834
M,1835,1835
I,1836,1836
P,1837,1837
P,1838,1838
P,1839,1839
C,1840,1840
X,1841,1841
K,1842,1842
K,1843,1843
I,1844,1844
P,1845,1845
I,1846,1846
I,1847,1847
I,1848,1848
Q,1849,1849
